State,Rptdate,PUA_IC,Reflect_Date,PUA_CC,PEUC_CC
OH,2020-12-12,54722,2020-12-05,440206,100818
WV,2020-12-12,1504,2020-12-05,35428,18259
KY,2020-12-19,4497,2020-12-12,10672,31092
OH,2020-12-19,56676,2020-12-12,481088,101506
WV,2020-12-19,1258,2020-12-12,30737,18147
KY,2020-12-26,5066,2020-12-19,27792,31780
OH,2020-12-26,51054,2020-12-19,472948,90149
WV,2020-12-26,893,2020-12-19,25033,16170
KY,2021-01-02,5,2020-12-26,12912,30989
OH,2021-01-02,0,2020-12-26,432627,75860
WV,2021-01-02,716,2020-12-26,21754,14298
KY,2021-01-09,6799,2021-01-02,11373,29992
OH,2021-01-09,0,2021-01-02,118101,65764
WV,2021-01-09,2208,2021-01-02,15404,16070
KY,2021-01-16,4956,2021-01-09,15178,31635
OH,2021-01-16,0,2021-01-09,656899,58645
WV,2021-01-16,1828,2021-01-09,8535,19632
KY,2021-01-23,8420,2021-01-16,11173,34089
OH,2021-01-23,0,2021-01-16,542475,55460
WV,2021-01-23,1686,2021-01-16,16951,20506
KY,2021-01-30,6578,2021-01-23,16298,35635
OH,2021-01-30,0,2021-01-23,497905,117154
WV,2021-01-30,1700,2021-01-23,11764,21647
KY,2021-02-06,5189,2021-01-30,18217,38284
OH,2021-02-06,10156,2021-01-30,481052,136890
WV,2021-02-06,1360,2021-01-30,10844,22033
KY,2021-02-13,5500,2021-02-06,30562,37114
OH,2021-02-13,232016,2021-02-06,616589,134240
WV,2021-02-13,1295,2021-02-06,10694,22084
KY,2021-02-20,3628,2021-02-13,25473,39672
OH,2021-02-20,207998,2021-02-13,719612,131907
WV,2021-02-20,751,2021-02-13,10523,21709
KY,2021-02-27,9978,2021-02-20,25900,36783
OH,2021-02-27,245796,2021-02-20,727159,136221
WV,2021-02-27,134,2021-02-20,10358,22370
KY,2021-03-06,14128,2021-02-27,21197,39440
OH,2021-03-06,261694,2021-02-27,674318,136376
WV,2021-03-06,523,2021-02-27,9961,22807
KY,2021-03-13,11905,2021-03-06,25231,36602
OH,2021-03-13,44767,2021-03-06,493508,136777
WV,2021-03-13,1120,2021-03-06,9609,22677
KY,2021-03-20,12352,2021-03-13,22075,38002
OH,2021-03-20,19698,2021-03-13,385277,133601
WV,2021-03-20,1255,2021-03-13,8970,22562
KY,2021-03-27,19625,2021-03-20,25889,33408
OH,2021-03-27,88777,2021-03-20,300722,131334
WV,2021-03-27,987,2021-03-20,9080,19991
KY,2021-04-03,49,2021-03-27,9915,34633
OH,2021-04-03,13265,2021-03-27,336847,125421
WV,2021-04-03,928,2021-03-27,9134,18039
KY,2021-04-10,41,2021-04-03,16030,29166
OH,2021-04-10,5601,2021-04-03,458590,123283
WV,2021-04-10,940,2021-04-03,8692,17146
KY,2021-04-17,2381,2021-04-10,11000,24800
OH,2021-04-17,5925,2021-04-10,412203,122863
WV,2021-04-17,1132,2021-04-10,8743,17057
KY,2021-04-24,1603,2021-04-17,13389,29176
OH,2021-04-24,5514,2021-04-17,359170,121884
WV,2021-04-24,1203,2021-04-17,8952,17368
KY,2021-05-01,3005,2021-04-24,12524,27067
OH,2021-05-01,3671,2021-04-24,340369,121234
WV,2021-05-01,743,2021-04-24,8424,17637
KY,2021-05-08,1625,2021-05-01,14425,28990
OH,2021-05-08,8556,2021-05-01,331496,121687
WV,2021-05-08,771,2021-05-01,8171,17247
KY,2021-05-15,610,2021-05-08,14500,29142
OH,2021-05-15,6117,2021-05-08,299103,121738
WV,2021-05-15,673,2021-05-08,8078,17431
KY,2021-05-22,1197,2021-05-15,14921,29284
OH,2021-05-22,3281,2021-05-15,284493,121135
WV,2021-05-22,706,2021-05-15,7806,17127
KY,2021-05-29,981,2021-05-22,14105,20554
OH,2021-05-29,2087,2021-05-22,271645,119647
WV,2021-05-29,596,2021-05-22,7693,17055
KY,2021-06-05,2076,2021-05-29,14725,28852
OH,2021-06-05,1395,2021-05-29,255539,109996
WV,2021-06-05,669,2021-05-29,7405,16141
KY,2021-06-12,10667,2021-06-05,13498,29008
OH,2021-06-12,3593,2021-06-05,251919,108177
WV,2021-06-12,673,2021-06-05,7266,15767
